Comment,Designator,Footprint,LCSC Part #
100n,"C501,C505,C608,C610,C611,C612,C613,C602,C804,C805,C807,C803,C806,C809,C810,C811,C904,C905,C907,C903,C906,C909,C910,C911,C1104,C1105,C1107,C1103,C1106,C1109,C1110,C1111,C741,C743,C745,C747,C702,C704,C712,C713,C715,C701,C703,C711,C714,C716,C724,C732,C740,C744,C746,C748,C723,C1012,C1004,C1005,C1007,C1003,C1006,C1009,C1010,C1011",Capacitor_SMD:C_0402_1005Metric,C1525
10n,"C502,C615,C605",Capacitor_SMD:C_0402_1005Metric,C15195
33p,"C504,C503",Capacitor_SMD:C_0402_1005Metric,C1562
10u,"C601,C604,C808,C801,C908,C901,C1108,C1101,C717,C718,C1008,C1001",Capacitor_SMD:C_0402_1005Metric,C15525
1u,"C606,C616,C603,C802,C902,C1102,C1002",Capacitor_SMD:C_0402_1005Metric,C52923
12p,"C607,C609",Capacitor_SMD:C_0402_1005Metric,C1547
4u7,"C614,C705,C725,C706,C726",Capacitor_SMD:C_0402_1005Metric,C23733
470n,"C733,C734",Capacitor_SMD:C_0402_1005Metric,C47339
B,"D301,D401",LED_SMD:LED_0603_1608Metric,C2286
C,"D302,D402",LED_SMD:LED_0603_1608Metric,C2286
A,"D303,D403",LED_SMD:LED_0603_1608Metric,C2286
G,"D304,D404",LED_SMD:LED_0603_1608Metric,C2286
D,"D305,D405",LED_SMD:LED_0603_1608Metric,C2286
F,"D306,D406",LED_SMD:LED_0603_1608Metric,C2286
E,"D307,D407",LED_SMD:LED_0603_1608Metric,C2286
LED STM POW,D601,LED_SMD:LED_0603_1608Metric,C2286
LED_Small,"D602,D603,D604,D605,D701",LED_SMD:LED_0603_1608Metric,C2286
INIT,"D707,D706",LED_SMD:LED_0603_1608Metric,C2286
LINK,"D801,D901,D1101,D1001",LED_SMD:LED_0603_1608Metric,C2286
SPEED,"D802,D902,D1102,D1002",LED_SMD:LED_0603_1608Metric,C2286
ACT,"D803,D903,D1103,D1003",LED_SMD:LED_0603_1608Metric,C2286
Bead,"FB601,FB801,FB901,FB1101,FB1001",Inductor_SMD:L_0805_2012Metric,C1017
2N3904,"Q202,Q201,Q701",Package_TO_SOT_SMD:SOT-23,C18536
1k,"R201,R202,R1143,R1144,R1145,R1146",Resistor_SMD:R_0402_1005Metric,C11702
200,"R203,R204,R205,R206,R207,R208,R209,R605,R607,R608,R609,R610,R832,R833,R834,R828,R829,R932,R933,R934,R928,R929,R1132,R1133,R1134,R1128,R1129,R704,R720,R715,R716,R1032,R1033,R1034,R1028,R1029",Resistor_SMD:R_0402_1005Metric,C25087
10k,"R602,R601,R604,R603,R718",Resistor_SMD:R_0402_1005Metric,C25744
2k2,"R606,R819,R820,R802,R804,R806,R808,R810,R811,R813,R815,R824,R826,R830,R835,R837,R839,R919,R920,R902,R904,R906,R908,R910,R911,R913,R915,R924,R926,R930,R935,R937,R939,R1119,R1120,R1102,R1104,R1106,R1108,R1110,R1111,R1113,R1115,R1124,R1126,R1130,R1135,R1137,R1139,R719,R721,R722,R723,R1147,R1148,R1019,R1020,R1002,R1004,R1006,R1008,R1010,R1011,R1013,R1015,R1024,R1026,R1030,R1035,R1037,R1039",Resistor_SMD:R_0402_1005Metric,C25879
0,"R701,R703,R713",Resistor_SMD:R_0402_1005Metric,C17168
1M,R702,Resistor_SMD:R_0402_1005Metric,C26083
100,"R717,R714,R1141,R1142",Resistor_SMD:R_0402_1005Metric,C25076
50,"R818,R823,R817,R822,R918,R923,R917,R922,R1118,R1123,R1117,R1122,R1018,R1023,R1017,R1022",Resistor_SMD:R_0402_1005Metric,C25120
4k87,"R821,R921,R1121,R1021",Resistor_SMD:R_0402_1005Metric,C25900
CH340G,U501,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C14267
AMS1117-3.3,"U601,U801,U901,U1101,U702,U1001",Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6186
STM32F107VCTx,U602,Package_QFP:LQFP-100_14x14mm_P0.5mm,C8315
LM317_3PinPackage,U701,Package_TO_SOT_SMD:TO-252-2,C75510
XC6SLX9-TQG144,U707,Package_QFP:LQFP-144_20x20mm_P0.5mm,C27408
W25Q128JVS,U708,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm,C97521
DP83848C,"U802,U902,U1102,U1002",Package_QFP:LQFP-48_7x7mm_P0.5mm,C16688
12MHz,Y501,Crystal:Crystal_SMD_0603-2Pin_6.0x3.5mm,C9002
25MHz,Y601,Crystal:Crystal_SMD_5032-4Pin_5.0x3.2mm,C9006
